"geneid","strand","fiveprime","threeprime"
"Pc2109T1C00002574g0000100","-",19821,4263
"Pc2109T1C00002574g0000110","-",5268,19821
"Pc2109T1C00002574g0000130","-",1472,2080
"Pc2109T1C00002574g0000120","+",5268,2080
"Pc2109T1C00000352g0000020","-",273,19080
"Pc2109T1C00002574g0000140","-",134,1472
"Pc2109T1C00002574g0000150","-",11606,134
"Pc2109T1C00002574g0000160","-",2,11606
"Pc2109T1C00002574g0000170","-",496,2
"Pc2109T1C00002574g0000180","-",4280,496
"Pc2109T1C00002574g0000190","-",146,4280
"Pc2109T1C00002574g0000200","-",22639,146
"Pc2109T1C00002574g0000210","+",22639,2511
"Pc2109T1C00002574g0000220","+",2511,2150
"Pc2109T1C00002574g0000230","+",2150,14939
"Pc2109T1C00002574g0000240","-",321,14939
"Pc2109T1C00002574g0000250","+",321,139
"Pc2109T1C00002574g0000260","+",139,1557
"Pc2109T1C00002574g0000270","+",1557,101
"Pc2109T1C00002574g0000280","-",111,101
"Pc2109T1C00002574g0000290","-",2042,111
"Pc2109T1C00002574g0000300","-",NA,2042
"Pc2109T1C00002577g0000020","-",53698,54208
"Pc2109T1C00002577g0000030","-",9125,53698
"Pc2109T1C00002577g0000040","-",5873,9125
"Pc2109T1C00000071g0000350","-",1164,3284
"Pc2109T1C00000071g0000340","+",4016,3284
"Pc2109T1C00000352g0000030","+",273,1518
"Pc2109T1C00000352g0000040","-",32081,1518
"Pc2109T1C00002577g0000050","-",2674,5873
"Pc2109T1C00002577g0000060","-",57,2674
"Pc2109T1C00002577g0000080","-",12420,3826
"Pc2109T1C00002577g0000070","+",57,3826
"Pc2109T1C00002577g0000090","+",12420,25586
"Pc2109T1C00002577g0000100","-",2256,25586
"Pc2109T1C00002577g0000110","+",2256,1562
"Pc2109T1C00002577g0000120","-",3301,1562
"Pc2109T1C00002577g0000130","-",1079,3301
"Pc2109T1C00000352g0000050","-",3311,32081
"Pc2109T1C00002577g0000140","+",1079,2463
"Pc2109T1C00002577g0000150","+",2463,925
"Pc2109T1C00002577g0000160","-",1195,925
"Pc2109T1C00002577g0000170","-",NA,1195
"Pc2109T1C00002583g0000020","+",14763,56018
"Pc2109T1C00002583g0000030","-",NA,56018
"Pc2109T1C00002586g0000020","+",23742,17831
"Pc2109T1C00002586g0000030","+",17831,14401
"Pc2109T1C00002586g0000040","-",NA,14401
"Pc2109T1C00002588g0000010","+",NA,727
"Pc2109T1C00002588g0000020","+",727,379
"Pc2109T1C00000352g0000060","-",11520,3311
"Pc2109T1C00002588g0000030","+",379,234
"Pc2109T1C00002588g0000050","-",254,235
"Pc2109T1C00002588g0000040","+",234,235
"Pc2109T1C00002588g0000060","+",254,225
"Pc2109T1C00002588g0000070","-",512,225
"Pc2109T1C00002588g0000080","-",562,512
"Pc2109T1C00002588g0000090","+",562,59
"Pc2109T1C00002588g0000100","+",59,2397
"Pc2109T1C00002588g0000110","+",2397,169
"Pc2109T1C00002588g0000120","-",18573,169
"Pc2109T1C00002588g0000130","-",45005,18573
"Pc2109T1C00002588g0000140","+",45005,48
"Pc2109T1C00002589g0000010","+",NA,302
"Pc2109T1C00002589g0000020","+",302,2677
"Pc2109T1C00002589g0000030","+",2677,25
"Pc2109T1C00002589g0000040","+",25,1343
"Pc2109T1C00002589g0000050","+",1343,2214
"Pc2109T1C00002589g0000070","-",2923,3046
"Pc2109T1C00002589g0000060","+",2214,3046
"Pc2109T1C00002589g0000080","+",2923,349
"Pc2109T1C00000352g0000070","+",11520,12
"Pc2109T1C00002589g0000090","+",349,119
"Pc2109T1C00002589g0000100","-",41337,119
"Pc2109T1C00002589g0000110","-",17,41337
"Pc2109T1C00002589g0000120","-",26,17
"Pc2109T1C00002589g0000130","-",3695,26
"Pc2109T1C00002589g0000140","-",2777,3695
"Pc2109T1C00002589g0000150","-",56,2777
"Pc2109T1C00002589g0000160","-",1575,56
"Pc2109T1C00002589g0000170","-",1825,1575
"Pc2109T1C00002589g0000180","-",183,1825
"Pc2109T1C00002589g0000190","-",320,183
"Pc2109T1C00000352g0000080","+",12,2939
"Pc2109T1C00002589g0000200","-",5261,320
"Pc2109T1C00002589g0000220","-",1309,148
"Pc2109T1C00002589g0000210","+",5261,148
"Pc2109T1C00002589g0000230","+",1309,2754
"Pc2109T1C00002589g0000240","+",2754,272
"Pc2109T1C00002589g0000250","-",610,272
"Pc2109T1C00002589g0000270","-",44,213
"Pc2109T1C00002589g0000260","+",610,213
"Pc2109T1C00002589g0000280","-",1707,44
"Pc2109T1C00000352g0000100","-",40311,27043
"Pc2109T1C00000352g0000090","+",2939,27043
"Pc2109T1C00002589g0000290","+",1707,7811
"Pc2109T1C00002589g0000300","+",7811,3807
"Pc2109T1C00002589g0000320","-",434,177
"Pc2109T1C00002589g0000310","+",3807,177
"Pc2109T1C00002589g0000340","-",1076,6634
"Pc2109T1C00002589g0000330","+",434,6634
"Pc2109T1C00002589g0000350","-",NA,1076
"Pc2109T1C00002590g0000010","+",NA,904
"Pc2109T1C00002590g0000020","+",904,20255
"Pc2109T1C00002590g0000030","+",20255,1146
"Pc2109T1C00002590g0000040","+",1146,2354
"Pc2109T1C00002590g0000050","+",2354,1062
"Pc2109T1C00002590g0000060","+",1062,275
"Pc2109T1C00002590g0000080","-",NA,4962
"Pc2109T1C00002590g0000070","+",275,4962
"Pc2109T1C00002599g0000020","-",52,113
"Pc2109T1C00002599g0000030","-",150,52
"Pc2109T1C00002599g0000040","-",7,150
"Pc2109T1C00002599g0000050","-",2614,7
"Pc2109T1C00002599g0000060","-",24468,2614
"Pc2109T1C00002599g0000070","-",208,24468
"Pc2109T1C00000352g0000110","+",40311,27998
"Pc2109T1C00002599g0000080","+",208,107
"Pc2109T1C00002599g0000090","+",107,3376
"Pc2109T1C00002599g0000100","+",3376,167
"Pc2109T1C00002599g0000120","-",408,211
"Pc2109T1C00002599g0000110","+",167,211
"Pc2109T1C00002599g0000130","-",161,408
"Pc2109T1C00002599g0000140","-",1982,161
"Pc2109T1C00002599g0000150","-",131,1982
"Pc2109T1C00002599g0000160","-",508,131
"Pc2109T1C00002599g0000170","-",341,508
"Pc2109T1C00002599g0000180","-",610,341
"Pc2109T1C00000352g0000120","+",27998,1247
"Pc2109T1C00002599g0000190","+",610,58224
"Pc2109T1C00002599g0000200","+",58224,21662
"Pc2109T1C00002599g0000210","+",21662,213
"Pc2109T1C00002599g0000220","+",213,284
"Pc2109T1C00002599g0000230","-",349,284
"Pc2109T1C00002599g0000240","+",349,2830
"Pc2109T1C00002599g0000250","+",2830,19
"Pc2109T1C00002599g0000260","+",19,143
"Pc2109T1C00002599g0000270","+",143,304
"Pc2109T1C00000071g0000360","-",1256,1164
"Pc2109T1C00000352g0000130","+",1247,12
"Pc2109T1C00002599g0000290","-",804,210
"Pc2109T1C00002599g0000280","+",304,210
"Pc2109T1C00002599g0000300","-",555,804
"Pc2109T1C00002599g0000310","-",1754,555
"Pc2109T1C00002599g0000320","-",892,1754
"Pc2109T1C00002599g0000330","+",892,151
"Pc2109T1C00002599g0000340","+",151,2506
"Pc2109T1C00002599g0000350","+",2506,1956
"Pc2109T1C00002599g0000360","+",1956,8465
"Pc2109T1C00002599g0000370","-",505,8465
"Pc2109T1C00002599g0000380","-",2515,505
"Pc2109T1C00000352g0000140","+",12,27385
"Pc2109T1C00000352g0000150","-",288,27385
"Pc2109T1C00002599g0000390","+",2515,187
"Pc2109T1C00002599g0000400","-",930,187
"Pc2109T1C00002599g0000410","+",930,10434
"Pc2109T1C00002599g0000420","-",1613,10434
"Pc2109T1C00002599g0000430","+",1613,549
"Pc2109T1C00002599g0000440","+",549,2777
"Pc2109T1C00002599g0000460","-",96,2688
"Pc2109T1C00002599g0000450","+",2777,2688
"Pc2109T1C00002599g0000470","-",262,96
"Pc2109T1C00002599g0000480","+",262,263
"Pc2109T1C00002599g0000490","+",263,4047
"Pc2109T1C00002599g0000510","-",1174,284
"Pc2109T1C00002599g0000500","+",4047,284
"Pc2109T1C00002599g0000520","-",373,1174
"Pc2109T1C00002599g0000530","+",373,2624
"Pc2109T1C00002599g0000550","-",1112,415
"Pc2109T1C00002599g0000540","+",2624,415
"Pc2109T1C00002599g0000560","+",1112,2580
"Pc2109T1C00002599g0000570","+",2580,86549
"Pc2109T1C00000352g0000160","+",288,173
"Pc2109T1C00002599g0000590","-",2182,143
"Pc2109T1C00002599g0000580","+",86549,143
"Pc2109T1C00002599g0000600","-",326,2182
"Pc2109T1C00002599g0000610","-",36303,326
"Pc2109T1C00002599g0000630","-",2178,333
"Pc2109T1C00002599g0000620","+",36303,333
"Pc2109T1C00002599g0000640","+",2178,172
"Pc2109T1C00002599g0000650","+",172,169
"Pc2109T1C00002599g0000660","-",184,169
"Pc2109T1C00002599g0000670","+",184,182
"Pc2109T1C00002599g0000680","-",2419,182
"Pc2109T1C00000352g0000170","+",173,237
"Pc2109T1C00002599g0000690","+",2419,2406
"Pc2109T1C00002599g0000710","-",168,283
"Pc2109T1C00002599g0000700","+",2406,283
"Pc2109T1C00002599g0000720","+",168,76
"Pc2109T1C00002599g0000730","+",76,227
"Pc2109T1C00002599g0000740","-",3032,227
"Pc2109T1C00002599g0000750","+",3032,254
"Pc2109T1C00002599g0000770","-",2013,14619
"Pc2109T1C00002599g0000760","+",254,14619
"Pc2109T1C00002599g0000780","-",3900,2013
"Pc2109T1C00000352g0000180","+",237,213
"Pc2109T1C00000352g0000190","-",70210,213
"Pc2109T1C00002599g0000790","-",102745,3900
"Pc2109T1C00002599g0000810","-",332,2816
"Pc2109T1C00002599g0000800","+",102745,2816
"Pc2109T1C00002599g0000830","-",980,274
"Pc2109T1C00002599g0000820","+",332,274
"Pc2109T1C00002599g0000840","-",5193,980
"Pc2109T1C00002599g0000850","-",1344,5193
"Pc2109T1C00002599g0000860","+",1344,328
"Pc2109T1C00002599g0000870","-",7225,328
"Pc2109T1C00002599g0000880","+",7225,3798
"Pc2109T1C00002599g0000890","+",3798,223
"Pc2109T1C00002599g0000900","+",223,28311
"Pc2109T1C00002599g0000910","+",28311,224
"Pc2109T1C00002599g0000920","+",224,3850
"Pc2109T1C00002599g0000930","+",3850,9
"Pc2109T1C00002599g0000940","+",9,140
"Pc2109T1C00002599g0000950","+",140,27
"Pc2109T1C00002599g0000960","+",27,71
"Pc2109T1C00002599g0000970","+",71,4575
"Pc2109T1C00000352g0000200","+",70210,121
"Pc2109T1C00002599g0000980","+",4575,1219
"Pc2109T1C00002599g0000990","+",1219,326
"Pc2109T1C00002599g0001000","+",326,2518
"Pc2109T1C00002599g0001010","+",2518,815
"Pc2109T1C00002599g0001020","+",815,458
"Pc2109T1C00002599g0001030","+",458,508
"Pc2109T1C00002599g0001040","+",508,1250
"Pc2109T1C00002599g0001050","+",1250,82
"Pc2109T1C00002599g0001060","-",4390,82
"Pc2109T1C00002599g0001070","-",7104,4390
"Pc2109T1C00000352g0000210","+",121,79879
"Pc2109T1C00002599g0001080","+",7104,1979
"Pc2109T1C00002599g0001100","-",4307,19023
"Pc2109T1C00002599g0001090","+",1979,19023
"Pc2109T1C00002599g0001110","+",4307,26373
"Pc2109T1C00002599g0001120","+",26373,9566
"Pc2109T1C00002599g0001130","+",9566,2910
"Pc2109T1C00002599g0001140","-",2513,2910
"Pc2109T1C00002599g0001150","+",2513,5763
"Pc2109T1C00002599g0001170","-",394,1156
"Pc2109T1C00002599g0001160","+",5763,1156
"Pc2109T1C00002599g0001180","-",347,394
"Pc2109T1C00000353g0000010","+",NA,2585
"Pc2109T1C00002599g0001200","-",1080,3647
"Pc2109T1C00002599g0001190","+",347,3647
"Pc2109T1C00002599g0001210","+",1080,1009
"Pc2109T1C00002599g0001220","-",1326,1009
"Pc2109T1C00002599g0001230","-",34391,1326
"Pc2109T1C00002599g0001250","-",5308,8887
"Pc2109T1C00002599g0001240","+",34391,8887
"Pc2109T1C00002599g0001260","-",2757,5308
"Pc2109T1C00002599g0001270","-",3357,2757
"Pc2109T1C00002599g0001280","-",10448,3357
"Pc2109T1C00000071g0000370","-",1256,1256
"Pc2109T1C00000360g0000020","-",386,1122
"Pc2109T1C00002599g0001290","-",407,10448
"Pc2109T1C00002599g0001300","+",407,407
"Pc2109T1C00002599g0001310","+",407,201
"Pc2109T1C00002599g0001320","-",523,201
"Pc2109T1C00002599g0001330","+",523,603
"Pc2109T1C00002599g0001350","-",1622,1111
"Pc2109T1C00002599g0001340","+",603,1111
"Pc2109T1C00002599g0001360","-",59,1622
"Pc2109T1C00002599g0001370","-",2601,59
"Pc2109T1C00002599g0001380","-",434,2601
"Pc2109T1C00000360g0000030","-",1497,386
"Pc2109T1C00002599g0001390","+",434,112
"Pc2109T1C00002599g0001410","-",595,396
"Pc2109T1C00002599g0001400","+",112,396
"Pc2109T1C00002599g0001420","+",595,391
"Pc2109T1C00002599g0001430","+",391,490
"Pc2109T1C00002599g0001450","-",412,485
"Pc2109T1C00002599g0001440","+",490,485
"Pc2109T1C00002599g0001470","-",16780,153
"Pc2109T1C00002599g0001460","+",412,153
"Pc2109T1C00002599g0001490","-",121,1462
"Pc2109T1C00002599g0001480","+",16780,1462
"Pc2109T1C00002599g0001500","+",121,36251
"Pc2109T1C00002599g0001510","-",34246,36251
"Pc2109T1C00002599g0001520","+",34246,60933
"Pc2109T1C00002599g0001540","-",3326,81
"Pc2109T1C00002599g0001530","+",60933,81
"Pc2109T1C00002599g0001550","-",178,3326
"Pc2109T1C00002599g0001560","+",178,59
"Pc2109T1C00002599g0001570","+",59,98
"Pc2109T1C00002599g0001580","-",167,98
"Pc2109T1C00000360g0000040","+",1497,3139
"Pc2109T1C00000360g0000050","-",1346,3139
"Pc2109T1C00002599g0001590","-",315,167
"Pc2109T1C00002599g0001600","-",211,315
"Pc2109T1C00002599g0001610","-",2600,211
"Pc2109T1C00002599g0001620","-",911,2600
"Pc2109T1C00002599g0001630","-",314,911
"Pc2109T1C00002599g0001640","-",144,314
"Pc2109T1C00002599g0001650","+",144,167
"Pc2109T1C00002599g0001660","+",167,95
"Pc2109T1C00002599g0001680","-",431,156
"Pc2109T1C00002599g0001670","+",95,156
"Pc2109T1C00002599g0001690","-",750,431
"Pc2109T1C00002599g0001700","+",750,347
"Pc2109T1C00002599g0001710","+",347,40
"Pc2109T1C00002599g0001730","-",161,115
"Pc2109T1C00002599g0001720","+",40,115
"Pc2109T1C00002599g0001740","-",828,161
"Pc2109T1C00002599g0001750","+",828,367
"Pc2109T1C00002599g0001760","+",367,1589
"Pc2109T1C00002599g0001770","-",308,1589
"Pc2109T1C00000360g0000060","+",1346,17
"Pc2109T1C00002599g0001790","-",1054,68
"Pc2109T1C00002599g0001780","+",308,68
"Pc2109T1C00002599g0001800","+",1054,6297
"Pc2109T1C00002599g0001820","-",2807,786
"Pc2109T1C00002599g0001810","+",6297,786
"Pc2109T1C00002599g0001830","-",303,2807
"Pc2109T1C00002599g0001840","+",303,36
"Pc2109T1C00002599g0001850","-",354,36
"Pc2109T1C00002599g0001860","-",652,354
"Pc2109T1C00002599g0001870","+",652,61
"Pc2109T1C00002599g0001880","-",216,61
"Pc2109T1C00000360g0000080","-",2130,459
"Pc2109T1C00000360g0000070","+",17,459
"Pc2109T1C00002599g0001890","+",216,82
"Pc2109T1C00002599g0001900","-",436,82
"Pc2109T1C00002599g0001920","-",859,2064
"Pc2109T1C00002599g0001910","+",436,2064
"Pc2109T1C00002599g0001930","-",187,859
"Pc2109T1C00002599g0001940","+",187,161
"Pc2109T1C00002599g0001950","-",550,161
"Pc2109T1C00002599g0001960","-",189,550
"Pc2109T1C00002599g0001970","+",189,9416
"Pc2109T1C00002599g0001980","-",364,9416
"Pc2109T1C00002599g0001990","-",797,364
"Pc2109T1C00002599g0002000","-",353,797
"Pc2109T1C00002599g0002010","-",3107,353
"Pc2109T1C00002599g0002020","+",3107,42580
"Pc2109T1C00002599g0002030","+",42580,652
"Pc2109T1C00002599g0002040","+",652,47
"Pc2109T1C00002599g0002050","+",47,589
"Pc2109T1C00002605g0000020","+",4105,2040
"Pc2109T1C00000360g0000090","+",2130,3803
"Pc2109T1C00002605g0000030","+",2040,1530
"Pc2109T1C00002605g0000040","+",1530,760
"Pc2109T1C00002605g0000050","-",2427,760
"Pc2109T1C00002605g0000060","-",2142,2427
"Pc2109T1C00002605g0000070","-",1346,2142
"Pc2109T1C00002605g0000080","+",1346,2821
"Pc2109T1C00002605g0000090","+",2821,2381
"Pc2109T1C00002605g0000100","+",2381,844
"Pc2109T1C00002605g0000110","-",2298,844
"Pc2109T1C00002605g0000120","+",2298,2413
"Pc2109T1C00000360g0000100","+",3803,223
"Pc2109T1C00002605g0000130","+",2413,2299
"Pc2109T1C00002605g0000140","+",2299,14
"Pc2109T1C00002605g0000150","+",14,2309
"Pc2109T1C00002605g0000160","+",2309,396
"Pc2109T1C00002605g0000170","+",396,190
"Pc2109T1C00002605g0000180","-",NA,190
"Pc2109T1C00002606g0000020","-",3179,191
"Pc2109T1C00002606g0000030","+",3179,377
"Pc2109T1C00002606g0000040","-",3041,377
"Pc2109T1C00002606g0000060","-",61,771
"Pc2109T1C00002606g0000050","+",3041,771
"Pc2109T1C00000071g0000380","-",13674,1256
"Pc2109T1C00000360g0000110","+",223,524
"Pc2109T1C00002606g0000070","-",1932,61
"Pc2109T1C00002606g0000080","+",1932,226
"Pc2109T1C00002606g0000090","-",1362,226
"Pc2109T1C00002606g0000100","-",317,1362
"Pc2109T1C00002606g0000110","+",317,322
"Pc2109T1C00002606g0000120","-",317,322
"Pc2109T1C00002606g0000130","+",317,90
"Pc2109T1C00002606g0000140","-",782,90
"Pc2109T1C00002606g0000150","-",253,782
"Pc2109T1C00000360g0000120","+",524,49307
"Pc2109T1C00002606g0000160","+",253,5853
"Pc2109T1C00002606g0000180","-",728,125
"Pc2109T1C00002606g0000170","+",5853,125
"Pc2109T1C00002606g0000190","+",728,5146
"Pc2109T1C00002606g0000200","-",6742,5146
"Pc2109T1C00002606g0000210","-",393,6742
"Pc2109T1C00002606g0000220","+",393,317
"Pc2109T1C00002606g0000230","+",317,15
"Pc2109T1C00002606g0000240","+",15,566
"Pc2109T1C00002606g0000250","-",695,566
"Pc2109T1C00000360g0000130","+",49307,224
"Pc2109T1C00002607g0000020","+",6498,2283
"Pc2109T1C00002607g0000030","+",2283,86
"Pc2109T1C00002607g0000040","-",699,86
"Pc2109T1C00002607g0000060","-",759,253
