"geneid","strand","fiveprime","threeprime"
"Pc2113T1C00002417g0000210","+",1662,888
"Pc2113T1C00000543g0000240","-",96,1315
"Pc2113T1C00002417g0000220","+",888,226
"Pc2113T1C00002417g0000230","+",226,1980
"Pc2113T1C00002417g0000250","-",148,241
"Pc2113T1C00002417g0000240","+",1980,241
"Pc2113T1C00002417g0000260","-",1116,148
"Pc2113T1C00002417g0000270","-",660,1116
"Pc2113T1C00002417g0000290","-",1151,1399
"Pc2113T1C00002417g0000280","+",660,1399
"Pc2113T1C00002417g0000300","-",NA,1151
"Pc2113T1C00002418g0000010","+",NA,161
"Pc2113T1C00002418g0000020","+",161,903
"Pc2113T1C00000543g0000250","-",612,96
"Pc2113T1C00002418g0000030","+",903,226
"Pc2113T1C00002418g0000040","+",226,2167
"Pc2113T1C00002418g0000050","+",2167,168
"Pc2113T1C00002418g0000060","-",149,168
"Pc2113T1C00002418g0000070","-",662,149
"Pc2113T1C00002418g0000080","+",662,729
"Pc2113T1C00002418g0000090","-",1047,729
"Pc2113T1C00002418g0000100","-",8393,1047
"Pc2113T1C00002418g0000110","+",8393,253
"Pc2113T1C00002418g0000120","-",245,253
"Pc2113T1C00000543g0000260","-",603,612
"Pc2113T1C00002418g0000140","-",343,248
"Pc2113T1C00002418g0000130","+",245,248
"Pc2113T1C00002418g0000150","-",2068,343
"Pc2113T1C00002418g0000160","+",2068,1312
"Pc2113T1C00002418g0000170","+",1312,28
"Pc2113T1C00002418g0000180","-",207,28
"Pc2113T1C00002418g0000190","-",322,207
"Pc2113T1C00002418g0000200","+",322,150
"Pc2113T1C00002418g0000210","-",1751,150
"Pc2113T1C00002418g0000220","+",1751,139
"Pc2113T1C00002418g0000230","-",698,139
"Pc2113T1C00002418g0000240","+",698,471
"Pc2113T1C00002418g0000250","-",1190,471
"Pc2113T1C00002418g0000270","-",201,217
"Pc2113T1C00002418g0000260","+",1190,217
"Pc2113T1C00002418g0000280","-",118,201
"Pc2113T1C00002418g0000290","-",1129,118
"Pc2113T1C00002418g0000300","+",1129,1584
"Pc2113T1C00002418g0000310","-",3574,1584
"Pc2113T1C00002418g0000320","+",3574,19
"Pc2113T1C00000543g0000270","+",603,1589
"Pc2113T1C00002418g0000330","+",19,72
"Pc2113T1C00002418g0000340","+",72,2166
"Pc2113T1C00002418g0000350","+",2166,7162
"Pc2113T1C00002418g0000360","+",7162,2116
"Pc2113T1C00002418g0000370","+",2116,25606
"Pc2113T1C00002418g0000380","+",25606,33061
"Pc2113T1C00002418g0000390","+",33061,1408
"Pc2113T1C00002418g0000400","+",1408,4855
"Pc2113T1C00002418g0000420","-",253,101
"Pc2113T1C00002418g0000410","+",4855,101
"Pc2113T1C00002418g0000430","-",13,253
"Pc2113T1C00000543g0000290","-",157,1259
"Pc2113T1C00000543g0000280","+",1589,1259
"Pc2113T1C00002418g0000440","-",515,13
"Pc2113T1C00002418g0000450","-",291,515
"Pc2113T1C00002418g0000470","-",190,223
"Pc2113T1C00002418g0000460","+",291,223
"Pc2113T1C00002418g0000490","-",593,208
"Pc2113T1C00002418g0000480","+",190,208
"Pc2113T1C00002418g0000500","-",923,593
"Pc2113T1C00002418g0000510","+",923,684
"Pc2113T1C00002418g0000520","+",684,216
"Pc2113T1C00002418g0000530","-",136,216
"Pc2113T1C00000543g0000300","-",1147,157
"Pc2113T1C00002418g0000550","-",1022,385
"Pc2113T1C00002418g0000540","+",136,385
"Pc2113T1C00002418g0000560","+",1022,14661
"Pc2113T1C00002418g0000570","+",14661,134
"Pc2113T1C00002418g0000580","+",134,7214
"Pc2113T1C00002418g0000590","+",7214,22005
"Pc2113T1C00002418g0000600","+",22005,4181
"Pc2113T1C00002418g0000620","-",584,137
"Pc2113T1C00002418g0000610","+",4181,137
"Pc2113T1C00002418g0000630","-",249,584
"Pc2113T1C00002418g0000640","-",15,249
"Pc2113T1C00002418g0000650","-",110,15
"Pc2113T1C00002418g0000670","-",122,74
"Pc2113T1C00002418g0000660","+",110,74
"Pc2113T1C00002418g0000690","-",125,701
"Pc2113T1C00002418g0000680","+",122,701
"Pc2113T1C00002418g0000700","+",125,270
"Pc2113T1C00002418g0000710","-",173,270
"Pc2113T1C00002418g0000730","-",439,1363
"Pc2113T1C00002418g0000720","+",173,1363
"Pc2113T1C00000543g0000320","-",55,1427
"Pc2113T1C00000543g0000310","+",1147,1427
"Pc2113T1C00002418g0000740","-",1682,439
"Pc2113T1C00002418g0000760","-",484,19
"Pc2113T1C00002418g0000750","+",1682,19
"Pc2113T1C00002418g0000770","+",484,962
"Pc2113T1C00002418g0000780","+",962,1062
"Pc2113T1C00002418g0000790","+",1062,341
"Pc2113T1C00002418g0000800","+",341,68
"Pc2113T1C00002418g0000810","-",144,68
"Pc2113T1C00002418g0000820","-",91,144
"Pc2113T1C00000543g0000330","-",332,55
"Pc2113T1C00002418g0000830","+",91,303
"Pc2113T1C00002418g0000840","-",1410,303
"Pc2113T1C00002418g0000850","+",1410,809
"Pc2113T1C00002418g0000860","+",809,528
"Pc2113T1C00002418g0000880","-",309,2012
"Pc2113T1C00002418g0000870","+",528,2012
"Pc2113T1C00002418g0000890","+",309,453
"Pc2113T1C00002418g0000900","-",203,453
"Pc2113T1C00002418g0000920","-",182,111
"Pc2113T1C00002418g0000910","+",203,111
"Pc2113T1C00000134g0000050","+",6602,2341
"Pc2113T1C00000543g0000340","-",4657,332
"Pc2113T1C00002418g0000930","+",182,293
"Pc2113T1C00002418g0000940","-",562,293
"Pc2113T1C00002418g0000950","-",447,562
"Pc2113T1C00002418g0000960","-",1131,447
"Pc2113T1C00002418g0000970","+",1131,6975
"Pc2113T1C00002418g0000980","+",6975,386
"Pc2113T1C00002418g0001000","-",105,98
"Pc2113T1C00002418g0000990","+",386,98
"Pc2113T1C00002418g0001010","-",27048,105
"Pc2113T1C00002418g0001020","+",27048,211
"Pc2113T1C00002418g0001030","+",211,25209
"Pc2113T1C00002418g0001040","+",25209,242
"Pc2113T1C00002418g0001050","-",504,242
"Pc2113T1C00002418g0001060","+",504,194
"Pc2113T1C00002418g0001070","-",746,194
"Pc2113T1C00002418g0001090","-",3794,101
"Pc2113T1C00002418g0001080","+",746,101
"Pc2113T1C00002418g0001100","-",198,3794
"Pc2113T1C00002418g0001110","+",198,346
"Pc2113T1C00002418g0001120","-",170,346
"Pc2113T1C00000545g0000020","-",NA,25467
"Pc2113T1C00002418g0001130","+",170,6733
"Pc2113T1C00002418g0001140","+",6733,205
"Pc2113T1C00002418g0001150","+",205,31
"Pc2113T1C00002418g0001160","-",937,31
"Pc2113T1C00002418g0001170","-",1464,937
"Pc2113T1C00002418g0001180","+",1464,1391
"Pc2113T1C00002418g0001190","+",1391,1110
"Pc2113T1C00002418g0001200","+",1110,130
"Pc2113T1C00002418g0001210","-",720,130
"Pc2113T1C00002418g0001220","+",720,380
"Pc2113T1C00000550g0000010","+",NA,9807
"Pc2113T1C00002418g0001240","-",184,206
"Pc2113T1C00002418g0001230","+",380,206
"Pc2113T1C00002418g0001250","+",184,162
"Pc2113T1C00002418g0001260","-",802,162
"Pc2113T1C00002418g0001270","-",648,802
"Pc2113T1C00002418g0001290","-",1405,3795
"Pc2113T1C00002418g0001280","+",648,3795
"Pc2113T1C00002418g0001300","-",450,1405
"Pc2113T1C00002418g0001310","-",743,450
"Pc2113T1C00002418g0001320","+",743,1334
"Pc2113T1C00000550g0000020","+",9807,207
"Pc2113T1C00002418g0001340","-",235,5884
"Pc2113T1C00002418g0001330","+",1334,5884
"Pc2113T1C00002418g0001350","+",235,181
"Pc2113T1C00002418g0001360","-",219,181
"Pc2113T1C00002418g0001370","+",219,320
"Pc2113T1C00002418g0001380","+",320,212
"Pc2113T1C00002418g0001390","+",212,58
"Pc2113T1C00002418g0001410","-",1207,3173
"Pc2113T1C00002418g0001400","+",58,3173
"Pc2113T1C00002418g0001420","+",1207,1351
"Pc2113T1C00002418g0001430","-",930,1351
"Pc2113T1C00000550g0000040","-",NA,116
"Pc2113T1C00000550g0000030","+",207,116
"Pc2113T1C00002418g0001440","+",930,1302
"Pc2113T1C00002418g0001460","-",4333,356
"Pc2113T1C00002418g0001450","+",1302,356
"Pc2113T1C00002418g0001470","-",3997,4333
"Pc2113T1C00002418g0001480","+",3997,2161
"Pc2113T1C00002418g0001490","+",2161,201
"Pc2113T1C00002418g0001510","-",438,125
"Pc2113T1C00002418g0001500","+",201,125
"Pc2113T1C00002418g0001530","-",218,1035
"Pc2113T1C00002418g0001520","+",438,1035
"Pc2113T1C00000567g0000020","-",2016,2717
"Pc2113T1C00002418g0001540","-",572,218
"Pc2113T1C00002418g0001550","-",20543,572
"Pc2113T1C00002418g0001560","+",20543,5082
"Pc2113T1C00002418g0001570","+",5082,240
"Pc2113T1C00002418g0001590","-",164,561
"Pc2113T1C00002418g0001580","+",240,561
"Pc2113T1C00002418g0001600","-",151,164
"Pc2113T1C00002418g0001610","+",151,4879
"Pc2113T1C00002418g0001620","+",4879,7479
"Pc2113T1C00002418g0001630","-",2173,7479
"Pc2113T1C00000567g0000030","-",1650,2016
"Pc2113T1C00002418g0001650","-",1819,115
"Pc2113T1C00002418g0001640","+",2173,115
"Pc2113T1C00002418g0001660","+",1819,208
"Pc2113T1C00002418g0001670","+",208,3033
"Pc2113T1C00002418g0001690","-",5519,270
"Pc2113T1C00002418g0001680","+",3033,270
"Pc2113T1C00002418g0001700","-",123,5519
"Pc2113T1C00002418g0001710","-",249,123
"Pc2113T1C00002418g0001720","+",249,58
"Pc2113T1C00002418g0001730","-",49,58
"Pc2113T1C00002418g0001740","-",663,49
"Pc2113T1C00002418g0001750","+",663,213
"Pc2113T1C00002418g0001760","+",213,1311
"Pc2113T1C00002418g0001780","-",187,67
"Pc2113T1C00002418g0001770","+",1311,67
"Pc2113T1C00002418g0001790","+",187,14263
"Pc2113T1C00002418g0001800","-",2587,14263
"Pc2113T1C00002418g0001810","+",2587,8136
"Pc2113T1C00002418g0001820","+",8136,14435
"Pc2113T1C00002418g0001830","-",18875,14435
"Pc2113T1C00000567g0000040","+",1650,1896
"Pc2113T1C00002418g0001840","+",18875,241
"Pc2113T1C00002418g0001850","+",241,1318
"Pc2113T1C00002418g0001860","+",1318,246
"Pc2113T1C00002418g0001870","-",260,246
"Pc2113T1C00002418g0001880","+",260,101
"Pc2113T1C00002418g0001890","-",160,101
"Pc2113T1C00002418g0001900","+",160,595
"Pc2113T1C00002418g0001920","-",155,189
"Pc2113T1C00002418g0001910","+",595,189
"Pc2113T1C00002418g0001930","-",685,155
"Pc2113T1C00000134g0000070","-",37254,30616
"Pc2113T1C00000134g0000060","+",2341,30616
"Pc2113T1C00000567g0000050","+",1896,856
"Pc2113T1C00002418g0001940","-",282,685
"Pc2113T1C00002418g0001950","-",179,282
"Pc2113T1C00002418g0001960","-",83,179
"Pc2113T1C00002418g0001970","-",181,83
"Pc2113T1C00002418g0001980","+",181,252
"Pc2113T1C00002418g0001990","-",284,252
"Pc2113T1C00002418g0002000","+",284,198
"Pc2113T1C00002418g0002010","+",198,494
"Pc2113T1C00002418g0002030","-",3543,90
"Pc2113T1C00002418g0002020","+",494,90
"Pc2113T1C00000567g0000060","+",856,1475
"Pc2113T1C00000567g0000070","-",850,1475
"Pc2113T1C00002418g0002040","+",3543,275
"Pc2113T1C00002418g0002050","+",275,2042
"Pc2113T1C00002418g0002060","+",2042,3608
"Pc2113T1C00002418g0002080","-",85,538
"Pc2113T1C00002418g0002070","+",3608,538
"Pc2113T1C00002418g0002090","-",20,85
"Pc2113T1C00002418g0002100","-",2288,20
"Pc2113T1C00002418g0002110","-",602,2288
"Pc2113T1C00002418g0002120","+",602,187
"Pc2113T1C00002418g0002130","-",3652,187
"Pc2113T1C00000567g0000080","-",4257,850
"Pc2113T1C00002418g0002140","+",3652,351
"Pc2113T1C00002418g0002150","+",351,597
"Pc2113T1C00002418g0002170","-",3608,239
"Pc2113T1C00002418g0002160","+",597,239
"Pc2113T1C00002418g0002180","+",3608,304
"Pc2113T1C00002418g0002190","+",304,387
"Pc2113T1C00002418g0002200","+",387,830
"Pc2113T1C00002418g0002210","-",2165,830
"Pc2113T1C00002418g0002230","-",479,2009
"Pc2113T1C00002418g0002220","+",2165,2009
"Pc2113T1C00002418g0002240","-",17653,479
"Pc2113T1C00002418g0002250","+",17653,31615
"Pc2113T1C00002418g0002260","+",31615,237
"Pc2113T1C00002418g0002280","-",603,340
"Pc2113T1C00002418g0002270","+",237,340
"Pc2113T1C00002418g0002290","+",603,774
"Pc2113T1C00002418g0002300","+",774,265
"Pc2113T1C00002418g0002310","+",265,166
"Pc2113T1C00002418g0002320","-",283,166
"Pc2113T1C00000567g0000100","-",929,1025
"Pc2113T1C00000567g0000090","+",4257,1025
"Pc2113T1C00002418g0002340","-",480,3951
"Pc2113T1C00002418g0002330","+",283,3951
"Pc2113T1C00002418g0002350","-",900,480
"Pc2113T1C00002418g0002360","+",900,280
"Pc2113T1C00002418g0002380","-",76,1959
"Pc2113T1C00002418g0002370","+",280,1959
"Pc2113T1C00002418g0002390","+",76,210
"Pc2113T1C00002418g0002400","+",210,120
"Pc2113T1C00002418g0002410","+",120,1766
"Pc2113T1C00002418g0002430","-",357,487
"Pc2113T1C00002418g0002420","+",1766,487
"Pc2113T1C00002418g0002440","-",950,357
"Pc2113T1C00002418g0002460","-",306,323
"Pc2113T1C00002418g0002450","+",950,323
"Pc2113T1C00002418g0002470","-",2000,306
"Pc2113T1C00002418g0002480","+",2000,225
"Pc2113T1C00002418g0002490","-",1234,225
"Pc2113T1C00002418g0002500","+",1234,232
"Pc2113T1C00002418g0002520","-",3215,1293
"Pc2113T1C00002418g0002510","+",232,1293
"Pc2113T1C00000567g0000110","+",929,477
"Pc2113T1C00000567g0000120","-",602,477
"Pc2113T1C00002418g0002540","-",382,776
"Pc2113T1C00002418g0002530","+",3215,776
"Pc2113T1C00002418g0002550","-",2166,382
"Pc2113T1C00002418g0002560","-",2872,2166
"Pc2113T1C00002418g0002570","-",220,2872
"Pc2113T1C00002418g0002580","-",803,220
"Pc2113T1C00002418g0002590","+",803,184
"Pc2113T1C00002418g0002600","-",4272,184
"Pc2113T1C00002418g0002610","-",526,4272
"Pc2113T1C00002418g0002620","+",526,668
"Pc2113T1C00002418g0002630","-",211,668
"Pc2113T1C00000567g0000130","-",6042,602
"Pc2113T1C00002418g0002640","+",211,416
"Pc2113T1C00002418g0002650","+",416,5516
"Pc2113T1C00002418g0002660","+",5516,154
"Pc2113T1C00002418g0002670","-",1083,154
"Pc2113T1C00002418g0002680","+",1083,378
"Pc2113T1C00002418g0002690","-",466,378
"Pc2113T1C00002418g0002700","-",684,466
"Pc2113T1C00002418g0002710","-",385,684
"Pc2113T1C00002418g0002720","+",385,202
"Pc2113T1C00002418g0002730","-",342,202
"Pc2113T1C00002418g0002740","-",263,342
"Pc2113T1C00002418g0002750","+",263,358
"Pc2113T1C00002418g0002770","-",313,1668
"Pc2113T1C00002418g0002760","+",358,1668
"Pc2113T1C00002418g0002780","+",313,330
"Pc2113T1C00002418g0002790","+",330,439
"Pc2113T1C00002418g0002800","+",439,316
"Pc2113T1C00002418g0002820","-",571,293
"Pc2113T1C00002418g0002810","+",316,293
"Pc2113T1C00002418g0002830","-",1231,571
"Pc2113T1C00000567g0000150","-",5081,1395
"Pc2113T1C00000567g0000140","+",6042,1395
"Pc2113T1C00002418g0002840","+",1231,992
"Pc2113T1C00002418g0002850","+",992,211
"Pc2113T1C00002418g0002860","-",14208,211
"Pc2113T1C00002418g0002870","+",14208,399
"Pc2113T1C00002418g0002880","-",136,399
"Pc2113T1C00002418g0002890","+",136,4461
"Pc2113T1C00002418g0002900","+",4461,16
"Pc2113T1C00002418g0002910","+",16,476
"Pc2113T1C00002418g0002920","+",476,1139
"Pc2113T1C00002418g0002930","+",1139,3401
"Pc2113T1C00002418g0002940","-",432,3401
"Pc2113T1C00002418g0002950","-",341,432
"Pc2113T1C00002418g0002960","-",176,341
"Pc2113T1C00002418g0002970","-",152,176
"Pc2113T1C00002418g0002980","-",2897,152
"Pc2113T1C00002418g0002990","+",2897,2891
"Pc2113T1C00002418g0003000","+",2891,42
"Pc2113T1C00002418g0003010","+",42,140
"Pc2113T1C00002418g0003020","-",392,140
"Pc2113T1C00002418g0003030","-",2344,392
"Pc2113T1C00000567g0000160","+",5081,11768
"Pc2113T1C00002418g0003040","-",NA,2344
"Pc2113T1C00002420g0000020","-",147,2420
"Pc2113T1C00002420g0000030","-",319,147
"Pc2113T1C00002420g0000050","-",268,427
"Pc2113T1C00002420g0000040","+",319,427
"Pc2113T1C00002420g0000060","+",268,9084
"Pc2113T1C00002420g0000070","+",9084,3636
"Pc2113T1C00002420g0000080","-",558,3636
"Pc2113T1C00002420g0000090","-",2058,558
"Pc2113T1C00002420g0000100","-",299,2058
"Pc2113T1C00000567g0000170","+",11768,4
"Pc2113T1C00002420g0000110","-",53668,299
"Pc2113T1C00002420g0000120","-",3314,53668
"Pc2113T1C00002420g0000130","-",4323,3314
"Pc2113T1C00002420g0000140","-",405,4323
"Pc2113T1C00002420g0000150","-",2310,405
"Pc2113T1C00002420g0000160","-",879,2310
"Pc2113T1C00002420g0000170","-",1474,879
"Pc2113T1C00002420g0000180","+",1474,1315
"Pc2113T1C00002420g0000190","+",1315,391
"Pc2113T1C00002420g0000200","-",5768,391
"Pc2113T1C00000567g0000180","+",4,45
"Pc2113T1C00002420g0000210","-",361,5768
"Pc2113T1C00002420g0000230","-",220,252
"Pc2113T1C00002420g0000220","+",361,252
"Pc2113T1C00002420g0000240","-",494,220
"Pc2113T1C00002420g0000250","-",907,494
"Pc2113T1C00002420g0000260","+",907,7
"Pc2113T1C00002420g0000270","+",7,460
"Pc2113T1C00002420g0000280","-",440,460
"Pc2113T1C00002420g0000290","-",35791,440
"Pc2113T1C00000567g0000190","+",45,34535
"Pc2113T1C00002420g0000300","+",35791,7201
"Pc2113T1C00002420g0000310","+",7201,12053
"Pc2113T1C00002420g0000320","+",12053,20081
"Pc2113T1C00002420g0000330","+",20081,88346
"Pc2113T1C00002420g0000340","-",16536,88346
"Pc2113T1C00002420g0000350","-",830,16536
"Pc2113T1C00002420g0000360","+",830,222
"Pc2113T1C00002420g0000370","-",622,222
"Pc2113T1C00002420g0000380","+",622,1636
"Pc2113T1C00002420g0000390","+",1636,2633
"Pc2113T1C00000567g0000210","-",154,1216
"Pc2113T1C00000567g0000200","+",34535,1216
"Pc2113T1C00002420g0000400","+",2633,211
"Pc2113T1C00002420g0000410","-",335,211
"Pc2113T1C00002420g0000420","-",585,335
"Pc2113T1C00002420g0000430","-",397,585
"Pc2113T1C00002420g0000440","+",397,800
"Pc2113T1C00002420g0000450","+",800,720
"Pc2113T1C00002420g0000460","+",720,1015
"Pc2113T1C00002420g0000470","+",1015,510
"Pc2113T1C00002420g0000480","+",510,1003
"Pc2113T1C00002420g0000490","+",1003,510
"Pc2113T1C00000567g0000220","-",NA,154
"Pc2113T1C00002420g0000500","+",510,18634
"Pc2113T1C00002420g0000510","+",18634,57
"Pc2113T1C00002420g0000520","+",57,10
"Pc2113T1C00002420g0000530","+",10,179
"Pc2113T1C00002420g0000540","+",179,10274
"Pc2113T1C00002420g0000550","+",10274,303
"Pc2113T1C00002420g0000560","-",492,303
"Pc2113T1C00002420g0000570","-",834,492
"Pc2113T1C00002420g0000580","-",418,834
"Pc2113T1C00002420g0000590","-",232,418
"Pc2113T1C00000573g0000010","+",NA,112
"Pc2113T1C00002420g0000600","+",232,270
"Pc2113T1C00002420g0000620","-",154,164
"Pc2113T1C00002420g0000610","+",270,164
"Pc2113T1C00002420g0000640","-",369,116
"Pc2113T1C00002420g0000630","+",154,116
"Pc2113T1C00002420g0000650","-",705,369
"Pc2113T1C00002420g0000660","-",8708,705
"Pc2113T1C00002420g0000670","-",719,8708
"Pc2113T1C00002420g0000680","-",2741,719
"Pc2113T1C00002420g0000690","-",1477,2741
"Pc2113T1C00000573g0000020","+",112,194
"Pc2113T1C00002420g0000710","-",206,225
"Pc2113T1C00002420g0000700","+",1477,225
"Pc2113T1C00002420g0000720","+",206,278
"Pc2113T1C00002420g0000730","-",172,278
"Pc2113T1C00002420g0000740","-",217,172
"Pc2113T1C00002420g0000760","-",129,157
"Pc2113T1C00002420g0000750","+",217,157
"Pc2113T1C00002420g0000780","-",265,115
"Pc2113T1C00002420g0000770","+",129,115
"Pc2113T1C00002420g0000800","-",353,127
"Pc2113T1C00002420g0000790","+",265,127
"Pc2113T1C00000573g0000030","+",194,159
"Pc2113T1C00002420g0000820","-",1870,116
"Pc2113T1C00002420g0000810","+",353,116
"Pc2113T1C00002420g0000830","-",216,1870
"Pc2113T1C00002420g0000840","+",216,76
"Pc2113T1C00002420g0000850","-",1202,76
"Pc2113T1C00002420g0000860","+",1202,210
"Pc2113T1C00002420g0000870","+",210,3416
"Pc2113T1C00002420g0000880","+",3416,287
"Pc2113T1C00002420g0000890","+",287,396
"Pc2113T1C00000134g0000080","+",37254,3954
"Pc2113T1C00000134g0000090","-",3976,3954
"Pc2113T1C00000573g0000040","+",159,132
"Pc2113T1C00002420g0000900","+",396,183
"Pc2113T1C00002420g0000910","-",768,183
"Pc2113T1C00002420g0000920","-",414,768
"Pc2113T1C00002420g0000930","-",711,414
"Pc2113T1C00002420g0000940","-",29,711
"Pc2113T1C00002420g0000950","-",166,29
"Pc2113T1C00002420g0000960","-",117,166
"Pc2113T1C00002420g0000970","-",426,117
"Pc2113T1C00002420g0000980","+",426,388
"Pc2113T1C00002420g0000990","+",388,5012
"Pc2113T1C00000573g0000050","+",132,4
"Pc2113T1C00002420g0001000","+",5012,2398
"Pc2113T1C00002420g0001010","+",2398,182
"Pc2113T1C00002420g0001020","-",59,182
"Pc2113T1C00002420g0001040","-",686,700
"Pc2113T1C00002420g0001030","+",59,700
"Pc2113T1C00002420g0001050","-",282,686
"Pc2113T1C00002420g0001060","+",282,28675
"Pc2113T1C00002420g0001080","-",7893,13048
"Pc2113T1C00002420g0001070","+",28675,13048
"Pc2113T1C00002420g0001090","+",7893,2667
"Pc2113T1C00002420g0001100","-",54,2667
"Pc2113T1C00000573g0000060","+",4,194
"Pc2113T1C00002420g0001110","-",1106,54
