Orthogroup,P_capsici,P_fragariae,P_infestans,P_parasitica,P_ramorum,P_sojae,Pc2109,Pc2113
OG0007712,KAG1685561.1,KAE8896294.1,PITG_14612,PPTG_13910T0,2507656563,EGZ13173,Pc2109T1C00002569g0000850.1,Pc2113T1C00002259g0000960.1
OG0007714,KAG1685564.1,KAE8896300.1,PITG_14610,PPTG_13912T0,2507656565,EGZ13175,Pc2109T1C00002569g0000830.1,Pc2113T1C00002259g0000940.1
OG0007715,KAG1685570.1,KAE8896119.1,PITG_14606,PPTG_13917T0,2507656568,EGZ13181,Pc2109T1C00002569g0000780.1,Pc2113T1C00002259g0000890.1
OG0007716,KAG1685574.1,KAE8896125.1,PITG_14602,PPTG_13921T0,2507656571,EGZ13185,Pc2109T1C00002569g0000740.1,Pc2113T1C00002259g0000850.1
OG0007717,KAG1685575.1,KAE8896124.1,PITG_14600,PPTG_13922T0,2507656572,EGZ13186,Pc2109T1C00002569g0000730.1,Pc2113T1C00002259g0000840.1
OG0007718,KAG1685576.1,KAE8896123.1,PITG_14599,PPTG_13923T0,2507656573,EGZ13187,Pc2109T1C00002569g0000720.1,Pc2113T1C00002259g0000830.1
OG0007719,KAG1685577.1,KAE8896122.1,PITG_14598,PPTG_13924T0,2507656574,EGZ13188,Pc2109T1C00002569g0000710.1,Pc2113T1C00002259g0000820.1
OG0007720,KAG1685580.1,KAE8896412.1,PITG_14595,PPTG_13933T0,2507656578,EGZ13191,Pc2109T1C00002569g0000660.1,Pc2113T1C00002259g0000770.1
OG0007721,KAG1685581.1,KAE8896413.1,PITG_14594,PPTG_13934T0,2507656579,EGZ13192,Pc2109T1C00002569g0000650.1,Pc2113T1C00002259g0000760.1
OG0007722,KAG1685582.1,KAE8896414.1,PITG_14593,PPTG_13935T0,2507656580,EGZ13193,Pc2109T1C00002569g0000640.1,Pc2113T1C00002259g0000750.1
OG0007723,KAG1685585.1,KAE8896417.1,PITG_14590,PPTG_13938T0,2507656582,EGZ13194,Pc2109T1C00002569g0000610.1,Pc2113T1C00002259g0000720.1
OG0007729,KAG1685617.1,KAE8892206.1,PITG_05366,PPTG_02535T0,2507664730,EGZ23888,Pc2109T1C00002402g0000380.1,Pc2113T1C00002674g0000150.1
OG0007730,KAG1685619.1,KAE8892306.1,PITG_05364,PPTG_02534T0,2507664729,EGZ23889,Pc2109T1C00002402g0000390.1,Pc2113T1C00002674g0000140.1
OG0007731,KAG1685620.1,KAE8892308.1,PITG_05363,PPTG_02533T0,2507664728,EGZ23890,Pc2109T1C00002402g0000400.1,Pc2113T1C00002674g0000130.1
OG0007732,KAG1685622.1,KAE8892310.1,PITG_05361,PPTG_02531T0,2507664726,EGZ23892,Pc2109T1C00002402g0000420.1,Pc2113T1C00002674g0000100.1
OG0007733,KAG1685623.1,KAE8892311.1,PITG_05360,PPTG_02530T0,2507664725,EGZ23893,Pc2109T1C00002402g0000430.1,Pc2113T1C00002674g0000090.1
OG0007734,KAG1685624.1,KAE8892312.1,PITG_05359,PPTG_02529T0,2507664724,EGZ23894,Pc2109T1C00002402g0000440.1,Pc2113T1C00002674g0000080.1
OG0007739,KAG1685835.1,KAE8893837.1,PITG_04698,PPTG_04788T0,2507656928,EGZ05887,Pc2109T1C00003064g0000480.1,Pc2113T1C00003206g0000200.1
OG0007740,KAG1685836.1,KAE8893767.1,PITG_04699,PPTG_04787T0,2507656929,EGZ05888,Pc2109T1C00003064g0000470.1,Pc2113T1C00003206g0000210.1
OG0007741,KAG1685841.1,KAE8893760.1,PITG_04703,PPTG_04782T0,2507656932,EGZ05894,Pc2109T1C00003064g0000430.1,Pc2113T1C00003206g0000250.1
OG0007742,KAG1685843.1,KAE8893762.1,PITG_04705,PPTG_04780T0,2507656935,EGZ05895,Pc2109T1C00003064g0000410.1,Pc2113T1C00003206g0000270.1
OG0007743,KAG1685847.1,KAE8893591.1,PITG_04708,PPTG_04776T0,2507656937,EGZ05896,Pc2109T1C00003064g0000370.1,Pc2113T1C00003206g0000320.1
OG0007751,KAG1685912.1,KAE8876625.1,PITG_17617,PPTG_18896T0,2507666827,EGZ11073,Pc2109T1C00002505g0000040.1,Pc2113T1C00002529g0000020.1
OG0007755,KAG1685987.1,KAE8915373.1,PITG_13202,PPTG_12121T0,2507666674,EGZ16826,Pc2109T1C00002699g0000180.1,Pc2113T1C00002875g0000190.1
OG0007772,KAG1686512.1,KAE8915684.1,PITG_01480,PPTG_12099T0,2507658067,EGZ16873,Pc2109T1C00002478g0000010.1,Pc2113T1C00002389g0000060.1
OG0007773,KAG1686514.1,KAE8915686.1,PITG_01478,PPTG_12097T0,2507658066,EGZ16877,Pc2109T1C00002478g0000030.1,Pc2113T1C00002389g0000080.1
OG0007774,KAG1686515.1,KAE8915685.1,PITG_01477,PPTG_12096T0,2507658065,EGZ16878,Pc2109T1C00002478g0000040.1,Pc2113T1C00002389g0000090.1
OG0007775,KAG1686518.1,KAE8915682.1,PITG_01470,PPTG_12093T0,2507658063,EGZ16881,Pc2109T1C00002478g0000050.1,Pc2113T1C00002389g0000100.1
OG0007776,KAG1686522.1,KAE8915575.1,PITG_01458,PPTG_12088T0,2507658058,EGZ16889,Pc2109T1C00002478g0000060.1,Pc2113T1C00002385g0000730.1
OG0007777,KAG1686526.1,KAE8915570.1,PITG_01461,PPTG_12089T0,2507658057,EGZ16894,Pc2109T1C00002478g0000080.1,Pc2113T1C00002385g0000710.1
OG0007778,KAG1686530.1,KAE8915578.1,PITG_01456,PPTG_12080T0,2507658052,EGZ16899,Pc2109T1C00002478g0000130.1,Pc2113T1C00002385g0000660.1
OG0007779,KAG1686533.1,KAE8916034.1,PITG_01453,PPTG_12075T0,2507658050,EGZ16902,Pc2109T1C00002478g0000150.1,Pc2113T1C00002385g0000630.1
OG0007788,KAG1686658.1,KAE8899742.1,PITG_10501,PPTG_15900T0,2507666151,EGZ29505,Pc2109T1C00002345g0000290.1,Pc2113T1C00002409g0000480.1
OG0007795,KAG1686879.1,KAE8878189.1,PITG_03839,PPTG_06516T0,2507656844,EGZ28745,Pc2109T1C00002705g0003170.1,Pc2113T1C00002346g0004150.1
OG0007797,KAG1686883.1,KAE8878202.1,PITG_03837,PPTG_06519T0,2507656842,EGZ28742,Pc2109T1C00002705g0003140.1,Pc2113T1C00002346g0004120.1
OG0007798,KAG1686886.1,KAE8878251.1,PITG_03832,PPTG_06524T0,2507656839,EGZ28737,Pc2109T1C00002705g0003100.1,Pc2113T1C00002346g0004080.1
OG0007799,KAG1686887.1,KAE8878249.1,PITG_03830,PPTG_06526T0,2507656837,EGZ28735,Pc2109T1C00002705g0003080.1,Pc2113T1C00002346g0004060.1
OG0007800,KAG1686888.1,KAE8878252.1,PITG_03831,PPTG_06525T0,2507656838,EGZ28736,Pc2109T1C00002705g0003090.1,Pc2113T1C00002346g0004070.1
OG0007804,KAG1686996.1,KAE8884316.1,PITG_18966,PPTG_16295T0,2507657105,EGZ04836,Pc2109T1C00002374g0000280.1,Pc2113T1C00002489g0000270.1
OG0007805,KAG1686998.1,KAE8884323.1,PITG_18974,PPTG_16297T0,2507657106,EGZ04837,Pc2109T1C00002374g0000250.1,Pc2113T1C00002489g0000250.1
OG0007806,KAG1687002.1,KAE8884428.1,PITG_18975,PPTG_16299T0,2507657108,EGZ04839,Pc2109T1C00002374g0000230.1,Pc2113T1C00002489g0000230.1
OG0007807,KAG1687010.1,KAE8884427.1,PITG_05296,PPTG_16307T0,2507657115,EGZ04848,Pc2109T1C00002374g0000150.1,Pc2113T1C00002489g0000140.1
OG0007808,KAG1687011.1,KAE8884372.1,PITG_05297,PPTG_16308T0,2507657116,EGZ04849,Pc2109T1C00002374g0000140.1,Pc2113T1C00002489g0000130.1
OG0007809,KAG1687013.1,KAE8884374.1,PITG_05299,PPTG_16310T0,2507657118,EGZ04850,Pc2109T1C00002374g0000120.1,Pc2113T1C00002489g0000110.1
OG0007810,KAG1687015.1,KAE8884376.1,PITG_05301,PPTG_16312T0,2507657120,EGZ04851,Pc2109T1C00002374g0000080.1,Pc2113T1C00002489g0000080.1
OG0007811,KAG1687017.1,KAE8884378.1,PITG_05303,PPTG_16314T0,2507657122,EGZ04852,Pc2109T1C00002374g0000060.1,Pc2113T1C00002489g0000060.1
OG0007816,KAG1687214.1,KAE8902951.1,PITG_08400,PPTG_13480T0,2507660987,EGZ14541,Pc2109T1C00002473g0000140.1,Pc2113T1C00002360g0000360.1
OG0007821,KAG1687361.1,KAE8895423.1,PITG_04957,PPTG_04611T0,2507655041,EGZ23509,Pc2109T1C00002354g0000050.1,Pc2113T1C00002944g0000360.1
OG0007822,KAG1687367.1,KAE8888246.1,PITG_04967,PPTG_04602T0,2507655038,EGZ23498,Pc2109T1C00002354g0000080.1,Pc2113T1C00002944g0000320.1
OG0007823,KAG1687368.1,KAE8888435.1,PITG_04969,PPTG_04600T0,2507655036,EGZ23496,Pc2109T1C00002354g0000110.1,Pc2113T1C00002944g0000310.1
OG0007824,KAG1687370.1,KAE8888307.1,PITG_04971,PPTG_04598T0,2507655035,EGZ23494,Pc2109T1C00002354g0000130.1,Pc2113T1C00002944g0000290.1
OG0007826,KAG1687374.1,KAE8888470.1,PITG_04973,PPTG_04594T0,2507655033,EGZ28024,Pc2109T1C00002611g0002280.1,Pc2113T1C00002340g0000170.1
OG0007827,KAG1687375.1,KAE8888459.1,PITG_04974,PPTG_04593T0,2507655032,EGZ23492,Pc2109T1C00002354g0000170.1,Pc2113T1C00002944g0000220.1
OG0007828,KAG1687377.1,KAE8888465.1,PITG_04976,PPTG_04591T0,2507655029,EGZ23489,Pc2109T1C00002354g0000190.1,Pc2113T1C00002944g0000200.1
OG0007829,KAG1687379.1,KAE8888370.1,PITG_04978,PPTG_04589T0,2507655027,EGZ23487,Pc2109T1C00002354g0000200.1,Pc2113T1C00002944g0000180.1
OG0007830,KAG1687388.1,KAE8908254.1,PITG_09262,PPTG_03567T0,2507661670,EGZ09180,Pc2109T1C00002528g0000100.1,Pc2113T1C00002609g0000370.1
OG0007835,KAG1687543.1,KAE8888719.1,PITG_15139,PPTG_15328T0,2507659589,EGZ15099,Pc2109T1C00002467g0001220.1,Pc2113T1C00002360g0002080.1
OG0007836,KAG1687544.1,KAE8888631.1,PITG_15138,PPTG_15329T0,2507659588,EGZ15094,Pc2109T1C00002467g0001230.1,Pc2113T1C00002360g0002070.1
OG0007837,KAG1687545.1,KAE8888530.1,PITG_15137,PPTG_15330T0,2507659587,EGZ15095,Pc2109T1C00002467g0001240.1,Pc2113T1C00002360g0002060.1
OG0007838,KAG1687550.1,KAE8888613.1,PITG_15129,PPTG_15334T0,2507659584,EGZ15015,Pc2109T1C00002467g0001290.1,Pc2113T1C00002360g0001990.1
OG0007840,KAG1687564.1,KAE8891660.1,PITG_15089,PPTG_15379T0,2507659562,EGZ09366,Pc2109T1C00002467g0001530.1,Pc2113T1C00002360g0001750.1
OG0007843,KAG1687592.1,KAE8902125.1,PITG_14853,PPTG_15780T0,2507662691,EGZ14133,Pc2109T1C00002621g0000130.1,Pc2113T1C00002440g0000220.1
OG0007844,KAG1687593.1,KAE8902124.1,PITG_14854,PPTG_15779T0,2507662692,EGZ14132,Pc2109T1C00002621g0000090.1,Pc2113T1C00002440g0000190.1
OG0007845,KAG1687597.1,KAE8902128.1,PITG_14818,PPTG_15793T0,2507662694,EGZ14145,Pc2109T1C00002621g0000060.1,Pc2113T1C00002440g0000160.1
OG0007849,KAG1687752.1,KAE8907845.1,PITG_13620,PPTG_10514T0,2507665160,EGZ06419,Pc2109T1C00002828g0000350.1,Pc2113T1C00000408g0000170.1
OG0007850,KAG1687754.1,KAE8907605.1,PITG_13618,PPTG_10516T0,2507665166,EGZ06427,Pc2109T1C00002828g0000290.1,Pc2113T1C00000414g0000010.1
OG0007851,KAG1687831.1,KAE8880069.1,PITG_14055,PPTG_09763T0,2507664630,EGZ06804,Pc2109T1C00003321g0000260.1,Pc2113T1C00002266g0000170.1
OG0007852,KAG1687862.1,KAE8880294.1,PITG_04337,PPTG_07610T0,2507655848,EGZ27615,Pc2109T1C00002328g0000310.1,Pc2113T1C00002420g0001240.1
OG0007854,KAG1687866.1,KAE8878720.1,PITG_04333,PPTG_07614T0,2507655865,EGZ17671,Pc2109T1C00002654g0000340.1,Pc2113T1C00000423g0000830.1
OG0007858,KAG1687970.1,KAE8896524.1,PITG_01751,PPTG_00910T0,2507655370,EGZ20935,Pc2109T1C00002858g0000140.1,Pc2113T1C00002255g0000630.1
OG0007859,KAG1687972.1,KAE8896526.1,PITG_01749,PPTG_00904T0,2507655372,EGZ20938,Pc2109T1C00002858g0000120.1,Pc2113T1C00002255g0000650.1
OG0007861,KAG1687976.1,KAE8896511.1,PITG_01745,PPTG_00900T0,2507655376,EGZ20940,Pc2109T1C00002858g0000080.1,Pc2113T1C00002255g0000690.1
OG0007862,KAG1687986.1,KAE8896686.1,PITG_01737,PPTG_00887T0,2507655387,EGZ20908,Pc2109T1C00002857g0000110.1,Pc2113T1C00002255g0000880.1
OG0007865,KAG1688023.1,KAE8910516.1,PITG_03451,PPTG_14760T0,2507657571,EGZ28295,Pc2109T1C00000207g0000850.1,Pc2113T1C00002346g0000220.1
OG0007866,KAG1688024.1,KAE8910517.1,PITG_03452,PPTG_14759T0,2507657570,EGZ28296,Pc2109T1C00000207g0000860.1,Pc2113T1C00002346g0000230.1
OG0007867,KAG1688025.1,KAE8910518.1,PITG_03453,PPTG_14758T0,2507657569,EGZ28297,Pc2109T1C00000207g0000870.1,Pc2113T1C00002346g0000240.1
OG0007868,KAG1688026.1,KAE8910519.1,PITG_03454,PPTG_14757T0,2507657567,EGZ28298,Pc2109T1C00000207g0000880.1,Pc2113T1C00002346g0000250.1
OG0007869,KAG1688028.1,KAE8910522.1,PITG_03456,PPTG_14755T0,2507657565,EGZ28300,Pc2109T1C00000207g0000900.1,Pc2113T1C00002346g0000270.1
OG0007870,KAG1688030.1,KAE8910514.1,PITG_03457,PPTG_14752T0,2507657564,EGZ28301,Pc2109T1C00000207g0000920.1,Pc2113T1C00002346g0000290.1
OG0007871,KAG1688031.1,KAE8910515.1,PITG_03458,PPTG_14751T0,2507657563,EGZ28302,Pc2109T1C00000207g0000940.1,Pc2113T1C00002346g0000320.1
OG0007872,KAG1688032.1,KAE8911030.1,PITG_03459,PPTG_14750T0,2507657562,EGZ28303,Pc2109T1C00000207g0000950.1,Pc2113T1C00002346g0000330.1
OG0007873,KAG1688033.1,KAE8911029.1,PITG_03460,PPTG_14749T0,2507657561,EGZ28304,Pc2109T1C00000207g0000960.1,Pc2113T1C00002346g0000340.1
OG0007874,KAG1688034.1,KAE8911031.1,PITG_03462,PPTG_14747T0,2507657560,EGZ28306,Pc2109T1C00000207g0000980.1,Pc2113T1C00002346g0000360.1
OG0007876,KAG1688038.1,KAE8911024.1,PITG_03468,PPTG_14743T0,2507657556,EGZ28308,Pc2109T1C00000207g0001020.1,Pc2113T1C00002346g0000400.1
OG0007877,KAG1688045.1,KAE8910699.1,PITG_03476,PPTG_14735T0,2507657550,EGZ28313,Pc2109T1C00000207g0001130.1,Pc2113T1C00002346g0000530.1
OG0007878,KAG1688046.1,KAE8910700.1,PITG_03477,PPTG_14734T0,2507657549,EGZ28314,Pc2109T1C00000207g0001140.1,Pc2113T1C00002346g0000540.1
OG0007900,KAG1688500.1,KAE8912196.1,PITG_01001,PPTG_10371T0,2507659334,EGZ26979,Pc2109T1C00002599g0001210.1,Pc2113T1C00002426g0001260.1
OG0007901,KAG1688503.1,KAE8912511.1,PITG_01003,PPTG_10366T0,2507659337,EGZ26982,Pc2109T1C00002599g0001190.1,Pc2113T1C00002426g0001280.1
OG0007902,KAG1688521.1,KAE8912315.1,PITG_01019,PPTG_10349T0,2507664040,EGZ27017,Pc2109T1C00002599g0001060.1,Pc2113T1C00002428g0000040.1
OG0007903,KAG1688538.1,KAE8912530.1,PITG_01035,PPTG_10326T0,2507664030,EGZ27046,Pc2109T1C00002599g0000810.1,Pc2113T1C00002430g0000060.1
OG0007904,KAG1688541.1,KAE8912632.1,PITG_01040,PPTG_10320T0,2507664027,EGZ27060,Pc2109T1C00002599g0000740.1,Pc2113T1C00002430g0000110.1
OG0007905,KAG1688602.1,KAE8896959.1,PITG_13825,PPTG_09316T0,2507658224,EGZ17757,Pc2109T1C00002652g0000340.1,Pc2113T1C00002553g0000130.1
OG0007911,KAG1688630.1,KAE8896933.1,PITG_13843,PPTG_09349T0,2507658247,EGZ17747,Pc2109T1C00002652g0000730.1,Pc2113T1C00000423g0000440.1
OG0007913,KAG1688632.1,KAE8896935.1,PITG_13845,PPTG_09351T0,2507658250,EGZ17715,Pc2109T1C00002652g0000740.1,Pc2113T1C00000423g0000470.1
OG0007914,KAG1688633.1,KAE8896940.1,PITG_13846,PPTG_09352T0,2507658251,EGZ17716,Pc2109T1C00002652g0000750.1,Pc2113T1C00000423g0000480.1
OG0007916,KAG1688676.1,KAE8904479.1,PITG_20238,PPTG_08985T0,2507664516,EGZ20183,Pc2109T1C00002544g0000160.1,Pc2113T1C00002220g0000220.1
OG0007917,KAG1688677.1,KAE8904481.1,PITG_20236,PPTG_08983T0,2507664518,EGZ20181,Pc2109T1C00002544g0000190.1,Pc2113T1C00002220g0000250.1
OG0007918,KAG1688678.1,KAE8904486.1,PITG_20235,PPTG_08982T0,2507664519,EGZ20180,Pc2109T1C00002544g0000200.1,Pc2113T1C00002220g0000260.1
OG0007919,KAG1688679.1,KAE8904287.1,PITG_20234,PPTG_08981T0,2507664520,EGZ20179,Pc2109T1C00002544g0000210.1,Pc2113T1C00002220g0000270.1
OG0007920,KAG1688692.1,KAE8904051.1,PITG_09419,PPTG_08967T0,2507664529,EGZ20160,Pc2109T1C00002544g0000330.1,Pc2113T1C00002220g0000360.1
OG0007921,KAG1688695.1,KAE8904445.1,PITG_19419,PPTG_08965T0,2507664531,EGZ20158,Pc2109T1C00002544g0000360.1,Pc2113T1C00002220g0000430.1
OG0007922,KAG1688696.1,KAE8904448.1,PITG_19418,PPTG_08964T0,2507664532,EGZ20157,Pc2109T1C00002544g0000370.1,Pc2113T1C00002220g0000440.1
OG0007923,KAG1688697.1,KAE8904447.1,PITG_19607,PPTG_08963T0,2507664533,EGZ20156,Pc2109T1C00002544g0000380.1,Pc2113T1C00002220g0000450.1
OG0007924,KAG1688698.1,KAE8904450.1,PITG_19608,PPTG_08962T0,2507664534,EGZ20155,Pc2109T1C00002544g0000390.1,Pc2113T1C00002220g0000460.1
OG0007925,KAG1688700.1,KAE8904452.1,PITG_19609,PPTG_08960T0,2507664535,EGZ20153,Pc2109T1C00002544g0000410.1,Pc2113T1C00002220g0000480.1
OG0007927,KAG1688705.1,KAE8904076.1,PITG_19612,PPTG_08956T0,2507664538,EGZ20150,Pc2109T1C00002544g0000460.1,Pc2113T1C00002220g0000520.1
OG0007928,KAG1688706.1,KAE8904077.1,PITG_04321,PPTG_08955T0,2507664539,EGZ20149,Pc2109T1C00002544g0000470.1,Pc2113T1C00002220g0000530.1
OG0007929,KAG1688708.1,KAE8904080.1,PITG_19606,PPTG_08953T0,2507664541,EGZ20147,Pc2109T1C00002544g0000490.1,Pc2113T1C00002220g0000550.1
OG0007930,KAG1688709.1,KAE8904084.1,PITG_19605,PPTG_08952T0,2507664542,EGZ20146,Pc2109T1C00002544g0000500.1,Pc2113T1C00002220g0000560.1
OG0007931,KAG1688711.1,KAE8903982.1,PITG_19604,PPTG_08950T0,2507664544,EGZ20144,Pc2109T1C00002544g0000520.1,Pc2113T1C00002220g0000580.1
OG0007932,KAG1688713.1,KAE8903980.1,PITG_19603,PPTG_08948T0,2507664546,EGZ20142,Pc2109T1C00002544g0000540.1,Pc2113T1C00002220g0000600.1
OG0007933,KAG1688715.1,KAE8903985.1,PITG_18815,PPTG_08946T0,2507664548,EGZ20136,Pc2109T1C00002546g0000020.1,Pc2113T1C00002220g0000620.1
OG0007934,KAG1688716.1,KAE8903983.1,PITG_18816,PPTG_18497T0,2507664549,EGZ20135,Pc2109T1C00002546g0000050.1,Pc2113T1C00002220g0000640.1
OG0007938,KAG1688733.1,KAE8904421.1,PITG_21398,PPTG_08926T0,2507664566,EGZ20109,Pc2109T1C00002546g0000930.1,Pc2113T1C00002222g0000230.1
OG0007939,KAG1688734.1,KAE8904422.1,PITG_21397,PPTG_08927T0,2507664565,EGZ20110,Pc2109T1C00002546g0000920.1,Pc2113T1C00002222g0000220.1
OG0007940,KAG1688735.1,KAE8904429.1,PITG_21396,PPTG_08928T0,2507664564,EGZ20111,Pc2109T1C00002546g0000910.1,Pc2113T1C00002222g0000210.1
OG0007941,KAG1688738.1,KAE8904427.1,PITG_21394,PPTG_08930T0,2507664562,EGZ20113,Pc2109T1C00002546g0000890.1,Pc2113T1C00002222g0000190.1
OG0007942,KAG1688739.1,KAE8904062.1,PITG_20061,PPTG_08925T0,2507664567,EGZ20096,Pc2109T1C00002546g0000950.1,Pc2113T1C00002222g0000250.1
OG0007943,KAG1688740.1,KAE8904059.1,PITG_20060,PPTG_08924T0,2507664568,EGZ20095,Pc2109T1C00002546g0000960.1,Pc2113T1C00002222g0000260.1
OG0007944,KAG1688741.1,KAE8904060.1,PITG_18813,PPTG_08923T0,2507664569,EGZ20094,Pc2109T1C00002546g0000970.1,Pc2113T1C00002222g0000270.1
OG0007945,KAG1688742.1,KAE8904065.1,PITG_18814,PPTG_08922T0,2507664570,EGZ20093,Pc2109T1C00002546g0000980.1,Pc2113T1C00002222g0000280.1
OG0007946,KAG1688743.1,KAE8904066.1,PITG_17692,PPTG_08921T0,2507664571,EGZ20092,Pc2109T1C00002546g0000990.1,Pc2113T1C00002222g0000290.1
OG0007951,KAG1688854.1,KAE8912330.1,PITG_00989,PPTG_10383T0,2507659323,EGZ26944,Pc2109T1C00002599g0001410.1,Pc2113T1C00002426g0001080.1
OG0007952,KAG1688857.1,KAE8912702.1,PITG_00986,PPTG_10386T0,2507659320,EGZ26942,Pc2109T1C00002599g0001450.1,Pc2113T1C00002426g0001030.1
OG0007955,KAG1688885.1,KAE8892097.1,PITG_12548,PPTG_09069T0,2507660104,EGZ11861,Pc2109T1C00002497g0000320.1,Pc2113T1C00002285g0000700.1
OG0007960,KAG1688964.1,KAE8905612.1,PITG_05875,PPTG_00316T0,2507663390,EGZ12343,Pc2109T1C00002350g0000020.1,Pc2113T1C00003130g0000310.1
OG0007962,KAG1688968.1,KAE8905262.1,PITG_05883,PPTG_00327T0,2507663384,EGZ12313,Pc2109T1C00002349g0000070.1,Pc2113T1C00003130g0000380.1
OG0007963,KAG1688971.1,KAE8905265.1,PITG_05884,PPTG_00328T0,2507663383,EGZ12314,Pc2109T1C00002349g0000060.1,Pc2113T1C00003130g0000390.1
OG0007964,KAG1688972.1,KAE8905383.1,PITG_05854,PPTG_00297T0,2507663402,EGZ12359,Pc2109T1C00002350g0000160.1,Pc2113T1C00003130g0000160.1
OG0007965,KAG1688990.1,KAE8896557.1,PITG_01821,PPTG_00980T0,2507655311,EGZ21064,Pc2109T1C00002718g0000450.1,Pc2113T1C00002434g0000060.1
OG0007967,KAG1688995.1,KAE8896791.1,PITG_01817,PPTG_00977T0,2507655314,EGZ21062,Pc2109T1C00002718g0000480.1,Pc2113T1C00002434g0000090.1
OG0007968,KAG1688996.1,KAE8896636.1,PITG_01816,PPTG_00976T0,2507655316,EGZ21061,Pc2109T1C00002718g0000490.1,Pc2113T1C00002434g0000100.1
OG0007969,KAG1688998.1,KAE8896788.1,PITG_01813,PPTG_00974T0,2507655322,EGZ21059,Pc2109T1C00002718g0000530.1,Pc2113T1C00002434g0000120.1
OG0007970,KAG1688999.1,KAE8896789.1,PITG_01812,PPTG_00973T0,2507655323,EGZ21058,Pc2109T1C00002718g0000540.1,Pc2113T1C00002434g0000130.1
OG0007971,KAG1689000.1,KAE8896717.1,PITG_01811,PPTG_00972T0,2507655324,EGZ21057,Pc2109T1C00002718g0000550.1,Pc2113T1C00002434g0000140.1
